,ID,E_Brent,Opt_Basica,PP,BR,AR,WO,NW_br,NW_ar,opt_C,opt_I,E1,E2,E3,E4,capex_h,produc_h,Fixed_Costs_h,Semi_Fixed_h,Gross_Fluid_h,Water_Injected_h,Producer_Well_h,WI_Well_h,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,volumen_B_LE,volumen_I_LE,volumen_T_LE,volumen_B_LE_p,volumen_I_LE_p,volumen_T_LE_p,LE_year_p,LE_year_b,lc_p,lc_b,dc_p,dc_b,opex_ing_p,capex_ing_p,impuesto_ing_p,ingreso_ing_p,abandono_ing_p,opex_ing_b,capex_ing_b,impuesto_ing_b,ingreso_ing_b,abandono_ing_b
29,29,50,1,0.5700000000000001,1,1,1,1,1,1,1,1,1,0,0,1,1.1,1,1,1,1,1,1,198897.1856,392915.7401,331884.8774,316464.9125,648349.79,0.7415047397008346,1508958.2813,7116184.7947,9616359.576,38.43673296751828,105.7814236637477,67.34469069622942,33.52025273275515,105.7814236637477,72.26117093099255,2043.0,2043.0,18.1795,18.1795,6.0814,6.0814,920928.4959,527715.0511,212796.1427,2291705.4255,38452.8102,920928.4959,527715.0511,237904.2953,2373350.4424,38452.8102
30,30,50,1,0.5700000000000001,1,1,1,1,1,1,1,1,1,1,0,1,1.1,1,1,1,1,1,1,198897.1856,345316.3583,331884.8774,268865.5307,600750.4082,0.4389770603184342,2670611.4413,7116184.7947,11665678.9269,38.43673296751828,139.3142664994566,100.87753353193831,33.52025273275515,139.3142664994566,105.79401376670145,2048.0,2048.0,18.6097,18.6097,8.1658,8.1658,1045100.6302,801225.5121,220812.1849,2639029.6693,27677.7982,1045100.6302,801225.5121,245920.3375,2720674.6861,27677.7982
31,31,50,1,0.5700000000000001,1,1,1,1,1,1,1,1,1,1,1,1,1.1,1,1,1,1,1,1,198897.1856,263887.0853,331884.8774,187436.2578,519321.1352,0.31607338792649786,3430089.626,7116184.7947,12888338.5406,38.43673296751828,157.4782740564555,119.04154108893721,33.52025273275515,157.4782740564555,123.95802132370035,2051.0,2051.0,19.2871,19.2871,9.2844,9.2844,1099861.8397,921505.1739,241784.8311,2748603.8953,22667.7797,1099861.8397,921505.1739,266892.9837,2830248.9121,22667.7797
32,32,50,1,0.5700000000000001,1,0,1,0,0,1,1,0,0,0,0,1,1,0.9,1,1,1,1,1,205293.5366,74413.6901,338609.63,-4408.2216,334201.4084,0.0,144552.5415,6858960.5622,6938796.4455,38.43673296751828,40.52721251647615,2.090479548957861,33.52025273275515,40.52721251647615,7.006959783721002,2031.0,2031.0,20.4878,20.4878,1.5277,1.5277,589187.3428,59723.9633,126302.1683,1155638.246,100717.5448,589187.3428,59723.9633,150523.2447,1234353.5039,100717.5448
33,33,50,1,0.5700000000000001,1,0,1,1,1,1,1,0,0,0,0,1,1,0.9,1,1,1,1,1,205293.5366,119500.7814,338609.63,42080.1552,380689.7852,0.2832462854871509,290519.3715,6858960.5622,7275878.9735,38.43673296751828,46.96998494645401,8.533251978935725,33.52025273275515,46.96998494645401,13.449732213698866,2032.0,2032.0,19.8378,19.8378,2.6467,2.6467,636996.6779,120002.8948,132838.2384,1309091.0797,94458.9506,636996.6779,120002.8948,157667.5573,1389815.8657,94458.9506
34,34,50,1,0.5700000000000001,1,1,1,1,0,1,1,0,0,0,0,1,1,0.9,1,1,1,1,1,205293.5366,174684.601,338609.63,97518.206,436127.836,0.6798502363964272,385295.3674,6858960.5622,7363907.9925,38.43673296751828,52.850379834283345,14.413646866765063,33.52025273275515,52.850379834283345,19.330127101528202,2033.0,2033.0,19.0826,19.0826,3.1176,3.1176,665797.3514,155146.8378,148776.9305,1436628.7542,86929.4968,665797.3514,155146.8378,173715.8271,1517717.3491,86929.4968
35,35,50,1,0.5700000000000001,1,1,1,1,1,1,1,0,0,0,0,1,1,0.9,1,1,1,1,1,205293.5366,167559.4934,338609.63,90393.0984,429002.7284,0.35036161350897727,692398.3556,6858960.5622,8047169.9616,38.43673296751828,59.43122453616801,20.994491568649725,33.52025273275515,59.43122453616801,25.910971803412867,2034.0,2034.0,19.1252,19.1252,4.9817,4.9817,716471.2353,247948.2308,137296.7748,1557490.0108,82920.7399,716471.2353,247948.2308,162235.6714,1638578.6057,82920.7399
36,36,50,1,0.5700000000000001,1,1,1,1,1,1,1,1,0,0,0,1,1,0.9,1,1,1,1,1,205293.5366,323168.2419,338609.63,245994.8636,584604.4936,0.7567270640165298,1085002.7881,6858960.5622,8570470.9459,38.43673296751828,87.79353125619754,49.35679828867926,33.52025273275515,87.79353125619754,54.2732785234424,2041.0,2041.0,18.8139,18.8139,5.281,5.281,844189.8921,391990.7325,191456.7396,2000120.151,44021.0083,844189.8921,391990.7325,216392.6434,2081198.7698,44021.0083
37,37,50,1,0.5700000000000001,1,1,1,1,1,1,1,1,1,0,0,1,1,0.9,1,1,1,1,1,205293.5366,322880.6829,338609.63,245707.3046,584316.9346,0.5501374788864104,1508958.2813,6858960.5622,9309650.0602,38.43673296751828,98.82759782967499,60.3908648621567,33.52025273275515,98.82759782967499,65.30734509691983,2042.0,2042.0,18.4253,18.4253,6.5156,6.5156,894463.8769,527715.0511,185429.8997,2178081.1385,42298.0912,894463.8769,527715.0511,210365.8035,2259159.7573,42298.0912
38,38,50,1,0.5700000000000001,1,1,1,1,1,1,1,1,1,1,0,1,1,0.9,1,1,1,1,1,205293.5366,248080.655,338609.63,170907.2767,509516.9066,0.27544686744385544,2670611.4413,6858960.5622,11348251.6833,38.43673296751828,127.62613134557353,89.18939837805523,33.52025273275515,127.62613134557353,94.10587861281837,2046.0,2046.0,18.7918,18.7918,8.9238,8.9238,1012901.0029,801225.5121,190609.3198,2491600.1622,33490.1358,1012901.0029,801225.5121,215545.2236,2572678.781,33490.1358
