,ID,E_Brent,Opt_Basica,PP,BR,AR,WO,NW,opt_C,opt_I,capex_h,produc_h,Fixed_Costs_h,Semi_Fixed_h,Gross_Fluid_h,Water_Injected_h,Producer_Well_h,WI_Well_h,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,volumen_B_LE,volumen_I_LE,volumen_T_LE,volumen_B_LE_p,volumen_I_LE_p,volumen_T_LE_p,LE_year_p,LE_year_b,lc_p,lc_b,dc_p,dc_b,opex_ing_p,capex_ing_p,impuesto_ing_p,ingreso_ing_p,abandono_ing_p,opex_ing_b,capex_ing_b,impuesto_ing_b,ingreso_ing_b,abandono_ing_b
20,20,50,1,0.5700000000000001,1,0,1,1,1,1,1,1.1,1,1,1,1,1,1,426952.545,126982.2335,486527.0957,196360.7906,682887.8863,2.0617156116373216,290519.3715,8674551.3609,9002406.1849,62.498910891403604,78.95300398732792,16.454093095924314,57.01655028689454,72.02730188317635,15.010751596281807,2039.0,2039.0,20.0062,20.0062,1.727,1.5755,774112.3621,120002.8948,221230.1898,1709103.059,39822.8339,848546.2431,120002.8948,277617.4299,1968877.2879,39822.8339
21,21,50,1,0.5700000000000001,1,1,1,0,1,1,1,1.1,1,1,1,1,1,1,426952.545,142090.0121,486527.0957,209626.6076,696153.7033,2.824554934029596,239328.5373,8674551.3609,8757137.7953,62.498910891403604,79.80919212686453,17.31028123546092,57.01655028689454,72.80838579994656,15.791835513052028,2040.0,2040.0,20.1012,20.1012,1.4085,1.285,763541.6468,94867.9063,229303.3029,1691606.2626,34850.8495,836959.1129,94867.9063,284899.4318,1947731.0038,34850.8495
22,22,50,1,0.5700000000000001,1,1,0,1,1,1,1,1.1,1,1,1,1,1,1,426952.545,47717.7726,486527.0957,109347.6112,595874.7069,0.7983221832590551,453069.8182,8674551.3609,9608671.7988,62.498910891403604,78.6377277839879,16.13881689258429,57.01655028689454,71.73968148714684,14.723131200252297,2039.0,2039.0,21.1088,21.1088,2.708,2.4705,799593.2449,153080.3244,186735.9056,1656917.5045,42837.712,876477.2108,153080.3244,239425.7106,1907695.6647,42837.712
23,23,50,1,0.5700000000000001,1,1,1,1,1,1,1,1.1,1,1,1,1,1,1,426952.545,183468.3669,486527.0957,266763.2534,753290.3491,1.3596339195901246,692398.3556,8674551.3609,9793323.1913,62.498910891403604,94.35052134978265,31.851610458379042,57.01655028689454,86.0741598278719,29.05760954097735,2040.0,2040.0,18.9537,18.9537,3.4376,3.136,835376.3272,247948.2308,235038.4311,1967727.2755,38943.3745,915700.9741,247948.2308,296921.4197,2252804.3481,38943.3745
24,24,50,1,0.5700000000000001,1,0,1,0,1,1,1,1,0.9,1,1,1,1,1,438912.8634,69561.2373,503437.8837,123633.342,627071.2257,2.544151899463883,144552.5415,8417327.1284,8400226.4337,64.21441218882794,73.05511436401761,8.840702175189675,58.58156901436937,66.6467709987529,8.065201984383522,2040.0,2040.0,21.2708,21.2708,0.9306,0.8489,741135.2537,59723.9633,207119.6637,1551303.8309,34850.8495,812398.2589,59723.9633,259093.5731,1793137.8704,34850.8495
25,25,50,1,0.5700000000000001,1,0,0,1,1,1,1,1,0.9,1,1,1,1,1,438912.8634,37959.4245,503437.8837,88482.1226,591920.0062,1.7095824463976235,145966.8301,8417327.1284,8657473.0784,64.21441218882794,70.53675461983333,6.322342431005389,58.58156901436937,64.34932000405846,5.767750989689084,2039.0,2039.0,21.5935,21.5935,0.9733,0.8879,746847.9761,60278.9315,194935.705,1518757.7345,39822.8339,818660.2815,60278.9315,245349.7848,1756031.8379,39822.8339
26,26,50,1,0.5700000000000001,1,0,1,1,1,1,1,1,0.9,1,1,1,1,1,438912.8634,106500.9703,503437.8837,169489.9983,672927.882,1.7692883188663115,290519.3715,8417327.1284,8737308.9617,64.21441218882794,79.40196779525239,15.187555606424452,58.58156901436937,72.436882900932,13.855313886562632,2040.0,2040.0,20.4095,20.4095,1.7183,1.5676,771034.4903,120002.8948,217854.6518,1690508.4468,36202.5762,845172.4221,120002.8948,273609.8949,1947915.67,36202.5762
27,27,50,1,0.5700000000000001,1,1,1,0,1,1,1,1,0.9,1,1,1,1,1,438912.8634,123287.4268,503437.8837,184725.1216,688163.0053,2.4817815131540484,239328.5373,8417327.1284,8488255.4527,64.21441218882794,80.24580630637765,16.03139411754971,58.58156901436937,73.20670049002872,14.625131475659357,2041.0,2041.0,20.4483,20.4483,1.402,1.279,758868.7467,94867.9063,226395.8041,1674015.3377,31682.5904,831836.8954,94867.9063,281496.5141,1928046.9115,31682.5904
28,28,50,1,0.5700000000000001,1,1,0,1,1,1,1,1,0.9,1,1,1,1,1,438912.8634,28026.3507,503437.8837,83836.0871,587273.9707,0.5796852748302014,453069.8182,8417327.1284,9340735.0475,64.21441218882794,77.33326232873975,13.118850139911803,58.58156901436937,70.54964282621873,11.968073811849354,2039.0,2039.0,21.0761,21.0761,2.7543,2.5127,785518.7712,153080.3244,183405.732,1631781.7538,42837.712,861049.4223,153080.3244,235682.1219,1879923.5514,42837.712
29,29,50,1,0.5700000000000001,1,1,1,1,1,1,1,1,0.9,1,1,1,1,1,438912.8634,146440.0234,503437.8837,221954.7885,725392.6721,1.1149270692690203,692398.3556,8417327.1284,9508599.9498,64.21441218882794,91.78685893453732,27.572446745709378,58.58156901436937,83.73538008063052,25.153811066261152,2040.0,2040.0,19.0921,19.0921,3.5359,3.2257,818922.0913,247948.2308,224589.6858,1915756.2693,38943.3745,897664.6001,247948.2308,285269.1356,2195218.0132,38943.3745
